,OCID,Category,Predicted,CleanText
697,ocds-591adf-6800054916,Governing law,stabilization,droit de la r publique de guin e tel que modifi et stabilis par la convention en cas de diff rend relatif au droit les arbitres auront recours au droit fran ais 
2732,ocds-591adf-7919066275,Restrictions on transactions with affiliated parties,royalties,when london mining enters into an agreement to dispose of minerals with affiliated parties the terms of the agreement and the royalty payable will be assessed under 5 2a as determined through an advance pricing agreement entered by the government and london mining pursuant to guidelines of 5 2c 
2847,ocds-591adf-7818544606,State participation,royalties,sodimico poss de 30 du capital social de la jvco soit numericvalue parts de cat gorie a et fortune poss de 70 du capital soit numericvalue parts de cat gorie b fortune avancera sodmico les fonds necessaires pour souscrire au capital de jvco 3 millions de dollars am ricains et les fonds avanc s seront r cup r s ar fortune sure les royalties payables 
3021,ocds-591adf-7082927540,Income tax: exemptions,stabilization,"
the government intends to present to the national assembly of the kurdistan region a law s to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to guarantee the stability of the applicable legal fiscal and economic conditions of such projects "
3215,ocds-591adf-7382402375,Custom duties,royalties,admission temporaire exon ration pour quipements mat riels gros outillages engins pi ces d tach es et lubrifiants l exception de la taxe d enregistrement au taux de 0 5 de la valeur caf avec un plafond maximum fix par la loi des finances les mati res premi res et consommables n cessaires l extraction et la valorisation du produit minier sont tax s l importation au taux de 5 6 de la valeur fob taxe l importation au taux de 5 6 de la valeur fob 
6321,ocds-591adf-2063488601,Surface fees or rent,royalties,terra doit payer une redevance annuelle fix e la somme de 245ff le premier janvier de chaque ann e chez le comptable subordonn de la division des affaires fonci res kipushi
7221,ocds-591adf-0966186576,Other - miscellaneous,stabilization,any breach by a party of an obligation due to a change in law subsequent to the date the contract comes into force where such government action in the absence of a change in law would have resulted in a breach shall entitle the aggrieved party to be indemnified by the defaulting party by an amount equal to the damage suffered by the aggrieved party
9186,ocds-591adf-1878297445,State participation,royalties,the afghan ministry of mines is entitled to receive 15 of the fields liquid hydrocarbons production as royalties a
9286,ocds-591adf-2949159236,Audit mechanisms - financial obligations,royalties,"congo iron s a doit engager une fois par ann e un cabinet d audit international r put ayant une exp rience av r e dans les projets miniers afin de conduire un audit des conditions de d termination de la redevance mini re et des paiements effectu s 

le gouvernement peut galement conduire un audit des conditions de d termination de la redevance mini re et des paiements effectu s au cours d une p riode donn e "
9310,ocds-591adf-2949159236,Surface fees or rent,royalties,"aucun paiement redevance loyer ou imp t n est d par congo iron s a pour le droit exclusif d occuper et d utiliser le p rim tre d exploitation pour l ex cution des op rations mini res 

si les terrains n cessaires aux op rations mini res sis hors du p rim tre d exploitation appartiennent au domaine public le gouvernement les mettra disposition de congo iron s a par voie de concession dans ce cas une redevance de numericvalue cfa par km par an est due "
9641,ocds-591adf-3014563630,Income tax: rate,stabilization,the corporate income tax shall be levied in accordance with the income tax law as may be amended from time to time but always subject to arts numericvalue and numericvalue which discuss how the parties will deal with any subsequent changes of laws or introduction of new taxes 
9733,ocds-591adf-3034053463,State participation,royalties,the option previously reserved in a former agreement for the government to acquire 47 of the shares of the company is released in favor of the company in consideration of a payment of a royalty of 10 000 000 
9977,ocds-591adf-2561344209,Income tax: rate,stabilization,the corporate income tax shall be levied in accordance with the income tax law as may be amended from time to time but always subject to arts numericvalue and numericvalue which discuss how the parties will deal with any subsequent changes of laws or introduction of new taxes 
11050,ocds-591adf-0290550345,State participation,stabilization,burundi has a non dilutable 15 participation share in smem burundi will hold numericvalue seats on the smem board of directors in addition to this 15 share burundi or members of the burundi economic community can acquire up to 34 additional share in smem burundi will be represented by the person assuming the role of vice president and 40 of the management team must be composed of nationals where smem shares are transferred burundi and burundian economic operators have a pre emption right to onerous purchase of their shares for up to a numericvalue stake in the smem pre emption rights must be exercised within numericvalue days and burundi can only cede its shares to entities within its direct control any change in composition of share capital or powers that have the effect of changing control in smem will need the prior approval of the minister responsible for mines after an opinion from the council of ministers 
13060,ocds-591adf-5264428938,Surface fees or rent,royalties,la redevance annuelle pour les permis et autorisations d exploitation numericvalue f km2 par an 
15779,ocds-591adf-4251085025,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,"effective from the handover date following the deduction of royalty and the recovery of expenses and costs from the available petroleum the remaining petroleum in any quarter shall be allocated between the parties in each quarter in the following proportions 
 	until the cumulative available crude oil after deduction of the royalty reaches numericvalue million barrels the government share will be 80 and the genel enerji share will be 20 
 	thereafter until the cumulative available crude oil after the deduction of the royalty reaches numericvalue hundred million barrels in the government share will be 8numericvalue and genel enerji share will be numericvalue 
 	thereafter available crude oil after deduction of the royalty exceeding numericvalue hundred million barrels the government share will be 90 and genel enerji share will be 10 
any available natural gas which genel enerji intends to produce and sell shall be the subject of the profit sharing provisions of the new agreements referred to in article numericvalue "
